iter	Passed	Remaining
0	346	172796
1	496	123516
2	688	113980
3	843	10458444	1018	100855	1213	99880
6	1368	96406
7	1452	89328
8	1591	86814
9	9	1742	853910	1920	85359
11	2032	82663
12	2177	81563
13	2360	81959
14	2455	79392
15	2571	77795
16	2738	77792
17	2863	76679
18	2950	74693
19	3099	74399
20	3196	72913
21	3210	69756
22	3261	67638223	3383	6711422424	3532	67112525	3658	66692626	3778	66192727	3891	655928	3939	63980
29	3994	62579
3030	4056	61373131	4204	61496
32	4259	60280
33	4274	58591
34	4320	57406
35	4377	56423636	4447	55654
37	4492	54614
38	4516	533839	4542	52236
4040	4614	516541	4707	51332
42	4768	50681
4343	4805	497944	4920	49749
45	4992	49271
46	5015	48340
47	5025	47325
48	5066	46633
49	5170	46534
50	5184	45639
51	5204	44841
52	5222	44046
53	5248	43347
54	5314	42996
55	5364	42529
56	5379	41808
57	5396	41122
58	5425	40553
59	5449	39960
60	5469	39361
61	5549	39207
62	5600	38847
63	5672	38643
64	5726	38322
65	5764	37907
66	5821	37622
67	5871	37302
68	5915	36951
69	5967	36654
70	6014	36338
71	6053	35986
72	6101	35691
73	6145	35377
74	6198	35122
75	6246	34846
76	6267	34430
77	6322	34205
78	6363	33909
79	6390	33550
80	6426	33242
81	6466	32963
82	6507	32692
83	6541	32394
84	6577	32116
85	6608	31813
86	6614	31402
87	6643	31102
88	6665	30782
89	6684	30449
90	6702	30125
91	6733	29863
92	6769	29623
93	6811	29421
94	6857	29233
95	6897	29026
96	6930	28793
97	6977	28622
98	6993	28328
99	7052	28209
100	7084	27988
101	7111	27749
102	7150	27562
103	7194	27394
104	7215	27144
105	7229	26870
106	7266	26688
107	7316	26557
108	7354	26381
109	7389	26200
110	7402	25942
111	7412	25678
112	7422	25419
113	7475	25313
114	7511	25147
115	7541	24965
116	7570	24782
117	7584	24551
118	7594	24316
119	7612	24106
120	7645	23947
121	7685	23811
122	7724	23675
123	7766	23549
124	7813	23439
125	7849	23299
126	7889	23172
127	7935	23061
128	7957	22886
129	7990	22743
130	8031	22623
131	8061	22475
132	8100	22352
133	8142	22238
134	8181	22119
135	8217	21993
136	8260	21887
137	8300	21773
138	8348	21683
139	8384	21559
140	8420	21440
141	8453	21312
142	8479	21167
143	8520	21064
144	8538	20903
145	8580	20804
146	8601	20654
147	8623	20509
148	8674	20434
149	8711	20327
150	8721	20157
151	8738	20005
152	8785	19925
153	8826	19831
154	8860	19721
155	8896	19618
156	8933	19517
157	8968	19413
158	8989	19278
159	9009	19145
160	9053	19063
161	9118	19025
162	9163	18944
163	9177	18803
164	9194	18666
165	9265	18643
166	9311	18567
167	9325	18429
168	9360	18333
169	9378	18204
170	9419	18122
171	9442	18005
172	9457	17876
173	9477	17756
174	9521	17683
175	9567	17612
176	9588	17496
177	9631	17423
178	9653	17311
179	9712	17266
180	9745	17175
181	9785	17097
182	9835	17037
183	9870	16950
184	9897	16852
185	9916	16740
186	9936	16632
187	9969	16544
188	9993	16444
189	10041	16383
190	10082	16311
191	10123	16239
192	10167	16173
193	10202	16093
194	10225	15992
195	10271	15931
196	10286	15821
197	10324	15746
198	10378	15698
199	10421	15632
200	10468	15572
201	10513	15509
202	10561	15452
203	10586	15360
204	10602	15257
205	10622	15160
206	10695	15139
207	10734	15070
208	10773	15000
209	10813	14933
210	10853	14865
211	10891	14795
212	10935	14734
213	10966	14656
214	10989	14567
215	11056	14536
216	11080	14450
217	11104	14363
218	11167	14329
219	11179	14227
220	11211	14154
221	11221	14052
222	11242	13964
223	11257	13870
224	11271	13776
225	11291	13689
226	11331	13627
227	11375	13571
228	11418	13512
229	11464	13458
230	11476	13364
231	11488	13270
232	11522	13204
233	11562	13143
234	11593	13073
235	11619	12997
236	11645	12923
237	11686	12864
238	11740	12821
239	11768	12749
240	11785	12665
241	11799	12579
242	11834	12516
243	11870	12454
244	11906	12392
245	11943	12331
246	11956	12246
247	11987	12180
248	12035	12131
249	12079	12079
250	12145	12048
251	12163	11970
252	12183	11894
253	12205	11821
254	12232	11753
255	12259	11684
256	12290	11621
257	12314	11550
258	12339	11481
259	12365	11414
260	12414	11368
261	12456	11315
262	12477	11243
263	12516	11188
264	12556	11134
265	12576	11063
266	12603	10998
267	12642	10944
268	12661	10872
269	12713	10830
270	12755	10778
271	12809	10737
272	12829	10667
273	12862	10609
274	12907	10560
275	12940	10502
276	12965	10437
277	12987	10371
278	13012	10307
279	13046	10250
280	13074	10189
281	13113	10137
282	13161	10091
283	13214	10050
284	13257	10001
285	13306	9956
286	13354	9910
287	13395	9860
288	13442	9814
289	13488	9767
290	13526	9715
291	13565	9662
292	13603	9610
293	13629	9550
294	13661	9493
295	13698	9441
296	13741	9392
297	13787	9346
298	13828	9295
299	13858	9238
300	13882	9178
301	13909	9119
302	13945	9066
303	13974	9010
304	14022	8965
305	14062	8915
306	14106	8868
307	14146	8818
308	14195	8774
309	14220	8715
310	14254	8662
311	14289	8610
312	14317	8554
313	14352	8501
314	14396	8454
315	14433	8404
316	14500	8370
317	14534	8318
318	14558	8260
319	14583	8203
320	14615	8150
321	14662	8105
322	14710	8060
323	14731	8002
324	14748	7941
325	14763	7880
326	14784	7821
327	14814	7768
328	14865	7726
329	14915	7683
330	14939	7627
331	14970	7575
332	14999	7522
333	15026	7468
334	15056	7415
335	15089	7365
336	15119	7313
337	15142	7257
338	15171	7205
339	15189	7147
340	15206	7090
341	15243	7042
342	15278	6993
343	15321	6948
344	15359	6900
345	15397	6853
346	15408	6793
347	15450	6748
348	15475	6695
349	15506	6645
350	15530	6592
351	15557	6541
352	15597	6495
353	15642	6451
354	15666	6399
355	15692	6347
356	15732	6301
357	15791	6263
358	15848	6224
359	15888	6178
360	15924	6131
361	15952	6081
362	15976	6029
363	16004	5979
364	16027	5928
365	16052	5877
366	16076	5826
367	16123	5783
368	16183	5745
369	16207	5694
370	16227	5642
371	16255	5593
372	16307	5552
373	16339	5504
374	16379	5459
375	16425	5416
376	16454	5368
377	16499	5325
378	16537	5279
379	16577	5234
380	16624	5192
381	16665	5147
382	16709	5104
383	16760	5063
384	16804	5019
385	16831	4970
386	16856	4921
387	16899	4878
388	16931	4831
389	16948	4780
390	16974	4732
391	17013	4687
392	17029	4636
393	17085	4596
394	17113	4549
395	17145	4502
396	17181	4457
397	17200	4408
398	17223	4359
399	17268	4317
400	17285	4267
401	17314	4220
402	17346	4175
403	17382	4130
404	17424	4087
405	17460	4042
406	17512	4001
407	17549	3957
408	17578	3911
409	17599	3863
410	17619	3815
411	17644	3768
412	17665	3721
413	17696	3676
414	17719	3629
415	17743	3582
416	17762	3535
417	17789	3489
418	17809	3442
419	17829	3396
420	17860	3351
421	17883	3305
422	17905	3259
423	17925	3213
424	17952	3168
425	17978	3122
426	17999	3077
427	18020	3031
428	18043	2986
429	18062	2940
430	18104	2898
431	18130	2853
432	18151	2808
433	18173	2763
434	18196	2718
435	18218	2674
436	18236	2629
437	18257	2584
438	18278	2539
439	18299	2495
440	18329	2452
441	18350	2407
442	18392	2366
443	18416	2322
444	18450	2280
445	18471	2236
446	18502	2193
447	18539	2151
448	18578	2110
449	18609	2067
450	18632	2024
451	18671	1982
452	18705	1940
453	18738	1898
454	18768	1856
455	18801	1814
456	18835	1772
457	18871	1730
458	18898	1688
459	18919	1645
460	18947	1602
461	18963	1559
462	19002	1518
463	19028	1476
464	19064	1434
465	19101	1393
466	19134	1352
467	19165	1310
468	19193	1268
469	19219	1226
470	19275	1186
471	19304	1145
472	19344	1104
473	19374	1062
474	19384	1020
475	19395	977
476	19404	935
477	19412	893
478	19421	851
479	19431	809
480	19438	767
481	19447	726
482	19458	684
483	19466	643
484	19474	602
485	19481	561
486	19489	520
487	19496	479
488	19503	438
489	19510	398
490	19517	357
491	19525	317
492	19533	277
493	19542	237
494	19551	197
495	19558	157
496	19565	118
497	19573	78
498	19580	39
499	19590	0
